0x54b	0x54a	0
0x552	0x550	0
0xafb	0xaf9	0
0xafc	0xaf8	1
0xafc	0xafb	0
0xafd	0xaf6	1
0xafd	0xafc	0
0xb04	0xb02	0
0xcf8	0xcf6	0
0xcf9	0xcf5	1
0xcf9	0xcf8	0
0xcfa	0xcf3	1
0xcfa	0xcf9	0
0xd06	0xd04	0
0xd0e	0xd0c	0
0xd1e	0xd1c	0
0xd1f	0xd1b	1
0xd1f	0xd1e	0
0xd20	0xd19	1
0xd20	0xd1f	0
0xd3f	0xd3d	0
0xd40	0xd3c	1
0xd40	0xd3f	0
0xd41	0xd3a	1
0xd41	0xd40	0
0xd74	0xd72	0
0xd7f	0xd7a	1
0xd7f	0xd7d	0
0xd80	0xd7a	1
0xd80	0xd7f	0
0xd83	0xd81	0
0xd84	0xd80	1
0xd84	0xd83	0
0xd93	0xd8e	1
0xd93	0xd91	0
0xd94	0xd8e	1
0xd94	0xd93	0
0xd95	0xd94	0
0xd95	0xdd5V0xd46	1
0xda2	0xd9f	1
0xda2	0xda1	0
0xda8	0xda2	0
0xdb3	0xdb0	0
0xdb9	0xdb7	0
0xdbd	0xdb3	0
0xdbd	0xdba	1
0xdc2	0xdb0	1
0xdc2	0xdb3	0
0xdca	0xdb3	0
0xdca	0xdc7	1
0xdce	0xdb3	1
0xdce	0xdca	0
0xe8c	0xe8a_0x0	0
0xe8d	0xe8c	0
0xe94	0xe92	0
0xe94	0xe92_0x0	1
0xe99	0xf8b	0
0xe9c	0xe99	1
0xe9c	0xe9a	0
0xe9d	0xe9c	0
0xea4	0xea2	0
0xea4	0xf8b	1
0xf8b	0xf89	0
0xfa2	0xf8b	0
0xfa2	0xf9f	1
0xfa6	0xfa4	0
0xfad	0xfa9	1
0xfad	0xfab	0
0xfae	0xfa7	1
0xfae	0xfad	0
0xfaf	0xfa6	1
0xfaf	0xfae	0
0xfbc	0xfba	0
0xfc3	0xfbf	1
0xfc3	0xfc1	0
0xfc4	0xfbd	1
0xfc4	0xfc3	0
0xfc5	0xfbc	1
0xfc5	0xfc4	0
0xfd5	0xfd0	1
0xfd5	0xfd3	0
0xfd6	0xfd0	1
0xfd6	0xfd5	0
0xfd9	0xfd7	0
0xfda	0xfd6	1
0xfda	0xfd9	0
0xfde	0xfdc	0
0xfec	0xfe5	1
0xfec	0xfea	0
0xff2	0xfde	0
0xff2	0xfef	1
0xff8	0xfde	1
0xff8	0xf45_0x3V0xf69V0xfce	0
0xffb	0xf84	5
0xffb	0xfda	1
0xffb	0xfde	2
0xffb	0xfde	4
0xffb	0xff8	3
0xffb	0xffa	0
0xffd	0xffb	0
0x1013	0xe94	0
0x104a	0x1048	0
0x1051	0x104c	1
0x1051	0x104f	0
0x1052	0x104c	1
0x1052	0x1051	0
0x1053	0x1052	0
0x1053	0xdebV0x45f	1
0x105d	0x105a	1
0x105d	0x105c	0
0x1064	0x103f	1
0x1064	0xe12V0x103d	0
0x1065	0x1064	0
0x106c	0x104a	1
0x106c	0x1034V0x1062	0
0x106d	0x106c	0
0x1231	0x1230	0
0x123a	0x1239	0
0x123e	0x123a	0
0x1241	0x123e	1
0x1241	0x123f	0
0x1242	0x1241	0
0x1242	0x1e44	1
0x1243	0x1242	0
0x1251	0x124a	1
0x1251	0x124f	0
0x1b2f	0x1b28	1
0x1b2f	0x1b2d	0
0x1b62	0x1b5b	1
0x1b62	0x1b60	0
0x1c4f	0x1c4d	0
0x1da0	0xfde	0
0x1da0	0x101c	1
0x1ef_0x0	0x1d0	-1
0x1ef_0x0	0x1de	-1
0x1f7_0x1	0x1f0	-1
0x1f7_0x1	0x347	-1
0x344_0x0	0x1e8	-1
0x344_0x0	0x350	-1
0xd0b_0x1	0xcff	-1
0xd0b_0x1	0xd06	-1
0xe8a_0x0	0xf8b	-1
0xe8a_0x0	0x1006	-1
0xe8a_0x0	0xef2V0x1d9e	-1
0xe92_0x0	0xf8b	-1
0xe92_0x0	0x1006	-1
0xe92_0x0	0xef2V0x1d9e	-1
0xe92_0x1	0xfb0	-1
0xe92_0x1	0x1002	-1
0xfb8_0x1	0xd01	-1
0xfb8_0x1	0xfaf	-1
0xfce_0x2	0xcff	-1
0xfce_0x2	0xd06	-1
0x1012_0x1	0xd01	-1
0x1012_0x1	0xfaf	-1
0x11ce0x53d	0x53d0x11cc	0
0x11ce0x53d	0x53d0x11c7	1
0x11ce0xaf0	0xaf00x11cc	0
0x11ce0xaf0	0xaf00x11c7	1
0x11c00x53d	0x53d0x11bf	0
0x11c00xaf0	0xaf00x11bf	0
0x11b70x53d	0x53d0x11b6	0
0x11b70xaf0	0xaf00x11b6	0
0x11af0x53d	0x53d0x1e3a	1
0x11af0x53d	0x53d0x11ae	0
0x11af0xaf0	0xaf00x1e3a	1
0x11af0xaf0	0xaf00x11ae	0
0x11ae0x53d	0x53d0x11aa	0
0x11ae0xaf0	0xaf00x11aa	0
0x11aa0x53d	0x53d0x11a9	0
0x11aa0xaf0	0xaf00x11a9	0
0x11a10x53d	0x53d0x11a0	0
0x11a10xaf0	0xaf00x11a0	0
0x11920x100	0x1000x1190	0
0x11920x100	0x1000x118b	1
0x11920x49c	0x49c0x1190	0
0x11920x49c	0x49c0x118b	1
0x11920xd13	0xd130x1190	0
0x11920xd13	0xd130x118b	1
0x11840x100	0x1000x1183	0
0x11840x100	0x1000x1182	1
0x11840x49c	0x49c0x1183	0
0x11840x49c	0x49c0x1182	1
0x11840xd13	0xd130x1183	0
0x11840xd13	0xd130x1182	1
0x11820x100	0x1000x1181	0
0x11820x100	0x1000x1179	1
0x11820x49c	0x49c0x1181	0
0x11820x49c	0x49c0x1179	1
0x11820xd13	0xd130x1181	0
0x11820xd13	0xd130x1179	1
0x11810x100	0x1000x1180	0
0x11810x100	0x1000x117a	1
0x11810x49c	0x49c0x1180	0
0x11810x49c	0x49c0x117a	1
0x11810xd13	0xd130x1180	0
0x11810xd13	0xd130x117a	1
0x11800x100	0x1000x117e	0
0x11800x100	0x1000x117c	1
0x11800x49c	0x49c0x117e	0
0x11800x49c	0x49c0x117c	1
0x11800xd13	0xd130x117e	0
0x11800xd13	0xd130x117c	1
0x11790x100	0x1000x1175	0
0x11790x49c	0x49c0x1175	0
0x11790xd13	0xd130x1175	0
0x11750x100	0x1000x1174	0
0x11750x49c	0x49c0x1174	0
0x11750xd13	0xd130x1174	0
0x116c0x100	0x1000x116b	0
0x116c0x49c	0x49c0x116b	0
0x116c0xd13	0xd130x116b	0
0xdebS0x113	0xde9V0x113	0
0xdf3S0x113	0xdefV0x113	1
0xdf3S0x113	0xdf1V0x113	0
0xdf4S0x113	0xdedV0x113	1
0xdf4S0x113	0xdf3V0x113	0
0xdf6S0x113	0xdebV0x113	0
0xdf6S0x113	0xdf4V0x113	1
0xdf8S0x113	0xdebV0x113	0
0xdf8S0x113	0xdf6V0x113	1
0xdebS0x192	0xde9V0x192	0
0xdf3S0x192	0xdefV0x192	1
0xdf3S0x192	0xdf1V0x192	0
0xdf4S0x192	0xdedV0x192	1
0xdf4S0x192	0xdf3V0x192	0
0xdf6S0x192	0xdebV0x192	0
0xdf6S0x192	0xdf4V0x192	1
0xdf8S0x192	0xdebV0x192	0
0xdf8S0x192	0xdf6V0x192	1
0xdebS0x376	0xde9V0x376	0
0xdf3S0x376	0xdefV0x376	1
0xdf3S0x376	0xdf1V0x376	0
0xdf4S0x376	0xdedV0x376	1
0xdf4S0x376	0xdf3V0x376	0
0xdf6S0x376	0xdebV0x376	0
0xdf6S0x376	0xdf4V0x376	1
0xdf8S0x376	0xdebV0x376	0
0xdf8S0x376	0xdf6V0x376	1
0xe0fS0x3a0	0xe0cV0x3a0	1
0xe0fS0x3a0	0xe0eV0x3a0	0
0xe11S0x3a0	0x396	0
0xe11S0x3a0	0xe0aV0x3a0	1
0xe12S0x3a0	0xe0fV0x3a0	1
0xe12S0x3a0	0xe11V0x3a0	0
0xe00S0x3a0	0x391	0
0xe02S0x3a0	0x396	0
0xe02S0x3a0	0xe00V0x3a0	1
0xe03S0x3a0	0xe02V0x3a0	0
0x1a63S0x3a0	0x1a5cV0x3a0	1
0x1a63S0x3a0	0x1a61V0x3a0	0
0xdebS0x426	0xde9V0x426	0
0xdf3S0x426	0xdefV0x426	1
0xdf3S0x426	0xdf1V0x426	0
0xdf4S0x426	0xdedV0x426	1
0xdf4S0x426	0xdf3V0x426	0
0xdf6S0x426	0xdebV0x426	0
0xdf6S0x426	0xdf4V0x426	1
0xdf8S0x426	0xdebV0x426	0
0xdf8S0x426	0xdf6V0x426	1
