0x11d
0x125
0x12a
0x199
0x1a1
0x229
0x231
0x24a
0x252
0x25b
0x37d
0x3a9
0x43b
0x46b
0x474
0x4b5
0x52d
0x55a
0x581
0x5a2
0x5f6
0x676
0x697
0x6a1
0x6cb
0x6e7
0x74c
0x7ac
0x7e6
0x800
0x836
0x88c
0x8ad
0x90b
0x941
0x97d
0x985
0x9a7
0xab7
0xb0c
0xb44
0xb53
0xb7b
0xb99
0xbdb
0xc73
0xc85
0xd0b
0xd2c
0xd4d
0xd8d
0xdad
0xdcd
0xef9
0xf80
0xf97
0xfb8
0xfce
0xff7
0x1012
0x102a
0x1062
0x106b
